feature,mean_abs_shap
fp_2047,0.01349844904004275
fp_1861,0.011176512328771693
fp_2045,0.00934678561594854
fp_2042,0.007448944972136746
fp_1009,0.007339997669864356
fp_851,0.0072805125814198015
fp_2044,0.006937478394005841
fp_882,0.006807831156712556
fp_1347,0.006766523624466036
fp_646,0.006583396078336889
fp_825,0.006234561834980071
fp_1278,0.006121824064455631
fp_2038,0.006074838052785466
fp_1323,0.005889240639128202
fp_893,0.005829195750535573
fp_2046,0.005301741018281574
fp_1551,0.004977437742402905
fp_594,0.004799344375502753
fp_2039,0.004716902304722679
fp_1735,0.004609641100101911
fp_170,0.004459890544811335
fp_1528,0.004442264977442415
fp_1104,0.00438557073967796
fp_1089,0.004374827579429487
fp_622,0.004314203803310997
fp_479,0.00421230318077032
LogP,0.004064946967881654
fp_1375,0.004016722377798063
fp_155,0.004004630495784921
fp_2041,0.003992331550936075
fp_2040,0.003943115651554302
fp_587,0.0037971360306241473
fp_491,0.0035279332930193714
fp_2043,0.003483941430140103
fp_368,0.003454632505080822
fp_353,0.003449212311184681
fp_1281,0.0034301646310377558
fp_881,0.0034035242325488255
fp_1807,0.0033914046526600473
fp_1464,0.0033874138252453193
fp_965,0.0033712982315245803
fp_1599,0.0033601352306860638
fp_1094,0.0032886877209574606
fp_1998,0.0031998031453072274
fp_951,0.003197243914291921
fp_1929,0.003172774972658479
fp_1474,0.0031263148211420895
fp_109,0.0030737189030181425
fp_963,0.0029466945937635506
fp_1135,0.002923609753092617
fp_970,0.002917762010000813
fp_273,0.0029107346996314174
fp_1047,0.002898061399425589
fp_1349,0.0028231210522373803
fp_471,0.0027771291200589503
fp_1611,0.0027658496256228317
fp_2016,0.002616772057076176
fp_668,0.0025851841833589018
fp_3,0.002435028812477022
fp_1491,0.0024331493240476484
fp_711,0.002430394820821923
fp_850,0.002372076083073761
fp_313,0.0022989564271885584
fp_641,0.0022950034435568483
fp_634,0.0022773163565918486
fp_731,0.002260395382266619
fp_1936,0.002218119234164146
fp_284,0.0021984664315971543
fp_1447,0.00214494867286023
fp_1007,0.002135782747640402
fp_69,0.0021260139455382136
fp_916,0.002121363720766431
fp_706,0.002058951162077835
fp_1315,0.002052657002302091
fp_212,0.0020503340489864902
fp_1798,0.0020500041818997104
fp_1068,0.0020354484090631324
fp_776,0.0020343320160238153
fp_1142,0.002014837054779044
fp_974,0.0019795262720711552
fp_79,0.0019765445787166378
fp_1150,0.0019618641797589566
fp_1025,0.0019586562992893256
fp_281,0.0019384104194798467
fp_2031,0.001929052371405095
fp_555,0.0019224042894236493
fp_1554,0.0018659976490359052
fp_1565,0.0018527125542114312
fp_1761,0.0018256085995736896
fp_1078,0.001784670312963559
fp_1226,0.0017796195123910873
fp_31,0.0017172372404860312
fp_1189,0.0017108061977275614
fp_1399,0.0016659321839897839
fp_346,0.001651064484917806
fp_1656,0.0016388365845813753
fp_1901,0.0016211196945119452
fp_192,0.00160237250891201
fp_1927,0.0015633228847560911
fp_925,0.001559296761650089
fp_1800,0.001554995382175641
fp_478,0.0015304291291535147
fp_312,0.0015053803517408133
fp_871,0.0014995492122853408
fp_1593,0.001496475867524387
fp_814,0.0014957959839104794
fp_1911,0.00148521372296299
fp_1826,0.0014745480993591687
fp_1050,0.0014508194310116343
fp_1989,0.0014189409308167972
fp_304,0.0014106019201086423
fp_1153,0.0013949042892932996
fp_613,0.0013934482419058996
fp_379,0.001391534008606021
fp_342,0.0013855858715326433
fp_1204,0.0013578975742661774
fp_157,0.0013459782774033783
fp_1988,0.0013340035948244183
fp_70,0.0013329105507453446
fp_204,0.001332513794710276
fp_1592,0.0013248310492654273
fp_1018,0.0013244046405569319
fp_1442,0.0013155298889880576
fp_1443,0.0013085688963338981
fp_1732,0.0012933846698895658
fp_784,0.0012787214642164858
fp_777,0.0012727405251465127
fp_1318,0.001256187159617096
fp_1887,0.0012491236247299399
fp_1968,0.0012484177276471926
fp_1247,0.0012353984564659895
fp_589,0.001228798345314213
fp_1845,0.0012174932798049499
fp_981,0.0012087608483931562
fp_1660,0.0012030872107249243
fp_657,0.001190222917599764
fp_1806,0.001189147472711976
fp_305,0.0011836322445931886
fp_1821,0.0011790570556701868
fp_1472,0.0011778820564558863
fp_833,0.0011717947678048268
fp_806,0.0011563300666131216
fp_685,0.0011516689139576904
fp_1470,0.0011484100999510133
fp_847,0.0011275575590994678
fp_1673,0.0011198346293722608
fp_793,0.001118376409390955
fp_373,0.001116391061516928
fp_680,0.0011156739788817575
fp_1918,0.0011105733348053422
fp_956,0.0010982984675051146
fp_223,0.001098230471178114
fp_949,0.0010886500850684913
fp_1712,0.001072715145836284
fp_1526,0.0010699363297781061
fp_328,0.001055561054231412
fp_1981,0.0010531723919316397
fp_794,0.001047357604721082
fp_1568,0.0010452674632401937
fp_187,0.0010373694662287334
fp_1490,0.0010321210570299684
fp_1714,0.0010289429723387288
fp_1381,0.0010247654604310255
fp_880,0.0010163875950885603
fp_957,0.001007684849276246
HeavyAtoms,0.0010036335243225258
fp_1960,0.0009979085314817616
fp_1496,0.0009735958310105611
fp_1994,0.0009731072795299633
fp_684,0.0009705406871802637
fp_1597,0.0009619670547196005
fp_11,0.0009548700511157489
fp_910,0.0009505479795864843
fp_966,0.0009463909683765648
fp_1412,0.0009416483249724823
fp_809,0.0009409141462844313
fp_831,0.0009252636130724651
fp_708,0.000924117702718175
fp_534,0.0009182797022117985
fp_239,0.000915763827159169
fp_797,0.0009140815755149423
fp_21,0.0009059498211646404
fp_563,0.0008997670765716945
fp_1523,0.0008991403793339614
fp_184,0.0008879664114087392
fp_896,0.0008859179841970327
fp_1575,0.0008856747194053677
fp_1058,0.0008808329854073679
fp_1502,0.0008784629956584965
fp_135,0.0008728042679906899
fp_908,0.0008604624837624266
fp_1856,0.0008584012398835911
fp_1895,0.0008511030605887313
fp_1147,0.0008509268695399187
fp_221,0.0008475846437179943
fp_454,0.0008393034711328026
fp_364,0.0008390524351380848
fp_96,0.0008383619411629853
fp_541,0.0008277801524206687
fp_93,0.0008230357711604927
fp_1233,0.0008121389059254605
fp_854,0.0008109853829230878
fp_1762,0.000803712025085667
fp_1907,0.0008008246517392062
fp_775,0.0007969931575934551
fp_1367,0.0007965265404665868
fp_614,0.000792647933497205
fp_1744,0.0007880715829756204
fp_901,0.0007779993427726079
fp_107,0.0007713921326641123
fp_632,0.0007712900367670004
fp_28,0.0007662529242855773
fp_703,0.0007639645263329323
fp_64,0.0007579878020854639
fp_300,0.0007543629721690899
fp_779,0.0007486184810498724
fp_617,0.0007372785744704327
fp_42,0.0007363184483034739
fp_1400,0.0007317784035222904
fp_1420,0.0007287605966656321
fp_130,0.0007268864505127654
fp_1157,0.0007258565423293359
fp_1365,0.0007237103337307473
fp_813,0.000722389827525035
fp_538,0.0007133432621433075
fp_663,0.0007099185798380632
fp_148,0.000700304669043517
fp_1087,0.0006953867971475634
fp_886,0.0006947207193616938
fp_689,0.0006856142604825318
fp_704,0.0006855528257141152
fp_144,0.0006774267206619039
fp_1686,0.0006760612854067711
fp_1970,0.0006748349428065452
fp_577,0.0006723697434984735
fp_279,0.0006704189547163447
fp_1223,0.0006692794989272394
fp_1041,0.0006650351852999207
fp_1842,0.0006618631653212292
fp_453,0.0006578915189432646
fp_1941,0.0006555398907809899
fp_325,0.0006551553665004764
fp_1773,0.0006542680804013765
fp_1616,0.0006508674863547599
fp_1430,0.0006478194586923063
fp_994,0.0006476210610318789
fp_771,0.0006323040032243957
fp_2024,0.0006298504713941312
fp_1882,0.0006274824592027223
fp_1082,0.0006243737713811421
fp_1060,0.0006175677532315066
fp_705,0.0006149745642828408
fp_1378,0.0006146737511453483
fp_1542,0.0006135876095128528
fp_1818,0.0006128466937458376
fp_356,0.0006116126657543339
fp_1355,0.0006112929058254226
fp_1774,0.0006105109627748663
fp_1198,0.0006070162713840598
fp_502,0.0005968149442218386
fp_1671,0.000596672778135425
fp_292,0.0005926851622153953
fp_361,0.0005901632066189963
fp_1657,0.0005899600601984875
fp_1677,0.0005883803061073518
fp_1952,0.0005860199345210586
fp_1161,0.0005847902713953387
fp_1679,0.0005831246117846047
fp_1090,0.0005818338524383244
fp_1357,0.0005817256622676587
fp_905,0.000580841699977921
fp_1734,0.0005767660602002936
fp_442,0.0005726500272421642
fp_699,0.000571447169572302
fp_1269,0.0005687907063562644
fp_1251,0.0005686881898845017
fp_1768,0.0005677162502565047
fp_1393,0.0005657117804814235
fp_1077,0.0005637033598949223
fp_1339,0.0005597978307023691
fp_133,0.000559263439977317
fp_1985,0.0005567404931832136
fp_104,0.0005562616719889491
fp_889,0.0005561501892532313
fp_1293,0.0005528866450792925
fp_1271,0.0005448534999610913
fp_476,0.0005436478419033159
fp_735,0.0005429689259025966
fp_812,0.0005389579631449684
fp_922,0.0005357143933851647
fp_1781,0.0005311066216471382
fp_219,0.000526906743295955
fp_588,0.0005257708787734021
fp_639,0.0005171362835588615
fp_542,0.0005157091604923547
fp_116,0.0005142958267975478
fp_260,0.0005139925915486093
fp_557,0.0005100483460449315
fp_1426,0.0005087232782522785
fp_628,0.000501200650022971
fp_835,0.0004881279436274718
fp_1040,0.00048736123552578915
fp_1687,0.0004843317253746015
fp_1302,0.0004821448184019268
fp_162,0.00048033382148980527
fp_665,0.0004776231422380378
fp_201,0.00047741750158710117
fp_233,0.0004724509767818751
fp_1708,0.0004720836659551747
fp_1794,0.00047072886646798846
fp_1295,0.00047070900004321633
fp_1092,0.00046939558750500455
fp_1454,0.00046850492873926877
fp_984,0.0004680120762120089
fp_1377,0.00046722851592176444
fp_826,0.00046395499793039884
fp_331,0.0004623893534048802
fp_316,0.00045973236112449876
fp_1594,0.00045947272338259953
fp_656,0.00045938793286373543
fp_1999,0.00045676061662700777
fp_1793,0.0004529875600959776
fp_1921,0.0004528328018395736
fp_816,0.0004507402230285111
fp_1029,0.0004506586998904291
fp_818,0.00044967453421327963
fp_1830,0.0004484240788958222
HBD,0.0004479438801290862
fp_1750,0.0004473664787732071
fp_1232,0.0004456649511068726
fp_978,0.0004451321137513932
fp_1206,0.00044443937671272187
fp_106,0.00044348244426214994
fp_91,0.0004415336784350892
fp_1498,0.0004370569506492741
fp_1312,0.00043656429666103603
fp_498,0.0004358433056160677
fp_596,0.0004351558338711516
fp_49,0.00043499392603734875
fp_964,0.0004347096847144519
fp_1152,0.0004322206081856364
fp_1737,0.0004313066737032059
fp_25,0.00043060513971555214
fp_1210,0.00043056527934438264
fp_1867,0.0004297490111593824
fp_1740,0.00042958906637613947
fp_1462,0.0004295079690367467
fp_422,0.00042820107154996605
fp_189,0.0004271065685122047
fp_578,0.0004263268683512551
fp_1620,0.00042520575833981055
fp_1406,0.00042411316315486884
fp_1723,0.00042080622135552557
fp_183,0.0004192466937352223
fp_1494,0.0004178836367457284
fp_2037,0.0004171155236896491
fp_2011,0.0004161174088550483
fp_438,0.00041476422632224884
fp_729,0.00041366756824142824
fp_1883,0.00041071679486688747
fp_1797,0.00041065190902280445
fp_865,0.0004045360256185253
fp_217,0.00040435606610825773
fp_969,0.0004032591825311717
fp_940,0.0004015178140161932
fp_1459,0.0003980149758343566
fp_752,0.00039678585200690354
fp_1307,0.00039578453833057737
fp_593,0.00039174459795342573
fp_551,0.00039107098362407133
fp_110,0.0003889419642983477
fp_1017,0.00038803682977315304
fp_1154,0.00038755308194592087
fp_513,0.00038633967503982696
fp_213,0.0003862344445177343
fp_601,0.00038602067051503444
fp_682,0.00038294293660352406
fp_461,0.0003827561139269841
fp_399,0.00038068487331292025
fp_311,0.00038027967460629533
fp_1675,0.00037671705960378826
fp_1126,0.0003756218481640362
fp_1946,0.00037546021332232274
fp_1525,0.00037475794624721484
fp_2034,0.00037426631051270273
fp_1559,0.00037333863793248946
fp_1145,0.0003723881821700796
fp_1815,0.0003720246661886778
fp_1024,0.0003689225718883105
fp_582,0.00036676743365764413
fp_674,0.00036610288247336667
fp_1116,0.0003656387621056359
fp_1483,0.00036563809267981835
fp_1466,0.00036443138001732676
fp_367,0.00036388029009579154
fp_114,0.0003637828873130593
fp_181,0.0003633581656409038
fp_276,0.00036263098173346765
fp_374,0.0003599899631373659
fp_1878,0.0003561633873368053
fp_1465,0.0003558301666470829
fp_152,0.00035334669902149915
fp_264,0.0003496302786783451
fp_1500,0.00034817040194485275
fp_1589,0.0003478024133679627
fp_1627,0.00034776727172472396
fp_1691,0.0003427120792516485
fp_640,0.0003426475796185943
fp_1156,0.00034229070155112907
fp_1214,0.00034173475572034297
fp_398,0.00034005262632369704
fp_651,0.0003375398191091113
fp_1727,0.0003374344867918876
fp_1488,0.0003358370989754189
